location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
503 Harnwell,,52,,,
503 Harnwell,5,7,,8,
503 Harnwell,,52,,,
503 Harnwell,5,7,,8,
503 Harnwell,,52,,,
454 Hill,,29,,,
1004 Harrison,10,21,,,
1004 Harrison,,52,,,
1004 Harrison,10,21,,,
1004 Harrison,,52,,,
1004 Harrison,10,21,,,
1004 Harrison,,52,,,
613 Lauder College House,,48,,,
,,52,,,
409 Harnwell,4,7,,,
409 Harnwell,,52,,,
1712 Harnwell,17,13,,14,
1712 Harnwell,,52,,,
1712 Harnwell,17,13,,14,
1712 Harnwell,,52,,,
1712 Harnwell,17,13,,14,
1712 Harnwell,,52,,,
613 Harnwell,6,8,,,
613 Harnwell,,52,,,
2316 Harnwell,23,16,,17,
